package,function
cmsafvis,sp::coordinates sp::CRS sp::GridTopology sp::over sp::proj4string sp::SpatialGrid sp::SpatialPoints
colorscience,sp::point.in.polygon
ConR,rgdal::project rgdal::rgdal_extSoftVersion rgdal::writeOGR rgeos::gBuffer rgeos::readWKT sp::coordinates sp::CRS sp::identicalCRS sp::Line sp::Lines sp::over sp::plot sp::Polygons sp::proj4string sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
cooltools,sp::plot
CoordinateCleaner,rgeos::gBuffer sp::coordinates sp::CRS sp::disaggregate sp::over sp::Polygons sp::proj4string sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spTransform
covatest,sp::SpatialPoints
crawl,sp::coordinates sp::proj4string
cropDemand,rgdal::readOGR
cropZoning,rgdal::readOGR
cruts,sp::CRS
cshapes,sp::spDists
ctmm,rgdal::project rgdal::writeOGR sp::coordinates sp::CRS sp::plot sp::point.in.polygon sp::Polygon sp::Polygons sp::proj4string sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spsample sp::spTransform
dartR,sp::coordinates sp::CRS sp::elide sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesLengths sp::SpatialPointsDataFrame
dbmss,sp::gridded sp::SpatialPoints sp::SpatialPointsDataFrame
DEPONS2R,sp::bbox sp::coordinates sp::CRS sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons
dggridR,sp::CRS sp::makegrid sp::Polygon sp::Polygons sp::SpatialPolygons
disaggregation,maptools::unionSpatialPolygons sp::bbox sp::spplot
dismo,sp::CRS sp::plot sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
dispeRse,sp::CRS
DivE,rgeos::gIntersection sp::Line sp::Lines sp::SpatialLines
doolkit,sp::Polygon
dots,sp::spsample
DRHotNet,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons
DrugSim2DR,sp::plot
DSSP,sp::coordinates
dtwSat,sp::CRS sp::Polygon sp::Polygons sp::SpatialPointsDataFrame sp::SpatialPolygons
dynamAedes,sp::CRS sp::SpatialPoints
ecospat,maptools::spRbind sp::CRS sp::SpatialPoints sp::SpatialPointsDataFrame
EEAaq,sp::CRS
eechidna,rgdal::ogrListLayers rgdal::readOGR rgeos::gArea rgeos::gContains rgeos::gIntersection rgeos::gIntersects rgeos::gSimplify sp::Polygon sp::SpatialPoints sp::SpatialPolygonsDataFrame
EEM,sp::point.in.polygon
EgoCor,sp::coordinates
ei,sp::point.in.polygon
eixport,rgdal::project
elevatr,sp::bbox sp::coordinates sp::CRS sp::Polygon sp::Polygons sp::proj4string sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::spTransform sp::wkt
EMbC,maptools::solarpos sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame
EnvExpInd,sp::coordinates
epcc,sp::SpatialPoints
epiflows,sp::SpatialLinesDataFrame
epitweetr,sp::coordinates sp::CRS sp::proj4string sp::spTransform
espadon,sp::point.in.polygon
excursions,sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPolygons
ExposR,rgdal::readOGR rgdal::setCPLConfigOption
expowo,sp::merge
fasterize,sp::CRS
fastmaRching,sp::spTransform
FEA,sp::Line sp::Lines sp::plot sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons sp::spsample
FedData,sp::GridTopology sp::SpatialPolygonsDataFrame
FeedbackTS,sp::point.in.polygon sp::SpatialPointsDataFrame
FLightR,maptools::gzAzimuth maptools::sunriset rgeos::gBuffer rgeos::gDistance rgeos::gSimplify rgeos::gUnion rgeos::gWithinDistance sp::CRS sp::identicalCRS sp::over sp::plot sp::proj4string sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDists sp::spDistsN1 sp::spsample sp::spTransform
flowDensity,rgeos::gBuffer rgeos::gDifference rgeos::gIntersects sp::point.in.polygon sp::Polygon sp::Polygons sp::SpatialPolygons
ForestGapR,sp::coordinates
ForestTools,rgeos::gArea rgeos::gCentroid rgeos::gUnaryUnion sp::disaggregate sp::GridTopology sp::over sp::proj4string sp::SpatialPixelsDataFrame sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame
FORTLS,sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
frenchCurve,sp::point.in.polygon
FRK,sp::as.SpatialPolygons.GridTopology sp::CRS sp::HexPoints2SpatialPolygons sp::Line sp::Lines sp::points2grid sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spsample
gaiah,sp::coordinates sp::gridded
gazepath,sp::point.in.polygon
gDefrag,maptools::SpatialLinesMidPoints rgdal::writeOGR rgeos::gArea rgeos::gDifference rgeos::gDistance rgeos::gIntersection rgeos::gLineMerge rgeos::gPointOnSurface rgeos::gTouches rgeos::gUnaryUnion rgeos::gUnion sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialLinesLengths sp::SpatialPointsDataFrame
gdistance,sp::coordinates sp::CRS sp::Line sp::SpatialLines
gecko,sp::Polygon sp::Polygons sp::SpatialPolygons
GeNetIt,sp::coordinates sp::CRS sp::is.projected sp::proj4string sp::SpatialLinesLengths
GeoAdjust,rgeos::gWithin sp::as.SpatialPolygons.PolygonsList sp::CRS sp::over sp::SpatialPoints sp::spTransform
geoBayes,sp::point.in.polygon sp::spDists
GeodesiCL,sp::coordinates sp::CRS sp::proj4string sp::spTransform
geodetector,sp::SpatialPointsDataFrame
geodiv,sp::coordinates sp::CRS sp::Line sp::Lines sp::proj4string sp::SpatialLines
GEOexplorer,maptools::pointLabel
geofacet,sp::coordinates sp::CRS
geogrid,rgeos::gCentroid sp::coordinates sp::CRS sp::HexPoints2SpatialPolygons sp::merge sp::plot sp::SpatialPixels sp::SpatialPolygonsDataFrame sp::spDists sp::spDistsN1 sp::spsample
geojsonio,sp::CRS sp::Polygon sp::Polygons sp::proj4string sp::SpatialGridDataFrame sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons
geomerge,sp::CRS sp::GridTopology sp::SpatialGridDataFrame
geoR,sp::coordinates sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
GeoRange,sp::Polygon
geospt,sp::rbind.SpatialPointsDataFrame
geotopbricks,rgdal::showWKT
geoTS,sp::coordinates sp::gridded
geoviz,rgdal::getGDALCheckVersion rgeos::gBuffer sp::char2dms sp::CRS sp::proj4string sp::SpatialPoints sp::spTransform
gfcanalysis,rgeos::gCentroid rgeos::gConvexHull rgeos::gIntersects rgeos::gTouches sp::CRS sp::GridTopology sp::SpatialGrid
ggOceanMaps,rgeos::createSPComment rgeos::gDistance rgeos::gIntersection rgeos::gIsValid rgeos::gSimplify sp::coordinates sp::CRS sp::identicalCRS sp::over sp::Polygon sp::Polygons sp::proj4string sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spTransform
GGoutlieR,sp::plot
ggsn,maptools::gcDestination
ggvoronoi,rgeos::gBuffer rgeos::intersect sp::Polygon sp::Polygons sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
GInSARCorW,sp::SpatialPoints
gmGeostats,sp::bbox sp::coordinates sp::CRS sp::getGridIndex sp::getGridTopology sp::GridTopology sp::point.in.polygon sp::points2grid sp::proj4string sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
gMOIP,sp::point.in.polygon
googletraffic,sp::CRS
gps.track,sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame
GPSeqClus,rgdal::writeOGR sp::CRS sp::proj4string sp::SpatialPoints sp::SpatialPointsDataFrame
grainscape,sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints
graph4lg,sp::coordinates sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame
graphx,sp::plot
graticule,sp::CRS sp::degreeLabelsEW sp::degreeLabelsNS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPolygonsDataFrame
gstat,sp::bpy.colors sp::gridparameters sp::GridTopology sp::mapasp sp::point.in.polygon sp::SpatialGrid sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame sp::spDists sp::zerodist
gwer,sp::CRS sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame
gwfa,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
GWLelast,sp::spDistsN1
GWPR.light,sp::bbox sp::coordinates sp::merge
GWSDAT,sp::point.in.polygon
HCV,rgeos::gTouches
HDSpatialScan,sp::spDists
hemispheR,sp::Polygon sp::Polygons sp::SpatialPolygons
hero,rgeos::gBuffer sp::bbox sp::coordinates sp::CRS sp::plot sp::Polygon sp::Polygons sp::SpatialPolygons sp::spDists sp::spsample
hierarchicalDS,rgeos::gCentroid
Hmsc,sp::CRS sp::spDists
HurreconR,rgdal::readOGR rgdal::setCPLConfigOption
hydroPSO,sp::coordinates sp::spplot
hydroTSM,maptools::readShapePoly sp::CRS sp::layout.north.arrow sp::layout.scale.bar sp::proj4string sp::SpatialPoints sp::spplot
hyfo,rgdal::readOGR
hyperbrick,rgdal::project
hypervolume,sp::plot sp::SpatialPoints
icardaFIGSr,sp::SpatialPoints
iccTraj,sp::CRS sp::SpatialPoints sp::spDists
iconr,rgdal::readOGR
icosa,sp::Line sp::Lines sp::plot sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPolygons sp::spsample sp::spTransform
IDE,sp::SpatialPoints
image.ContourDetector,sp::Line sp::Lines sp::plot sp::SpatialLines
image.LineSegmentDetector,sp::Line sp::Lines sp::plot sp::SpatialLines
importinegi,rgdal::readOGR
inlabru,rgdal::CRSargs rgdal::get_rgdal_show_exportToProj4_warnings rgdal::get_thin_PROJ6_warnings rgdal::new_proj_and_gdal rgdal::readGDAL rgdal::set_rgdal_show_exportToProj4_warnings rgdal::set_thin_PROJ6_warnings rgdal::showSRID sp::cbind.Spatial sp::coordinates sp::coordnames sp::CRS sp::Line sp::Lines sp::merge sp::over sp::point.in.polygon sp::Polygon sp::Polygons sp::proj4string sp::SpatialGridDataFrame sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDists sp::spTransform sp::wkt
INLAspacetime,sp::bbox sp::coordinates sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::spTransform
intamap,sp::CRS sp::Polygon sp::Polygons sp::remove.duplicates sp::SpatialGridDataFrame sp::SpatialLinesDataFrame sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDistsN1 sp::zerodist
intkrige,sp::bbox sp::coordinates sp::coordnames sp::gridparameters sp::is.projected sp::Line sp::Lines sp::sp.lines sp::SpatialLines sp::SpatialPixelsDataFrame sp::SpatialPointsDataFrame sp::spDists sp::spplot
intSDM,sp::CRS sp::SpatialPointsDataFrame
Irescale,sp::Polygon
iSDM,maptools::spRbind rgdal::writeOGR sp::coordinates sp::over sp::Polygon sp::Polygons sp::SpatialPolygons
isocat,sp::SpatialPoints
IsoriX,sp::coordinates sp::CRS sp::get_ll_warn sp::gridded sp::point.in.polygon sp::proj4string sp::set_ll_warn sp::sp.points sp::sp.polygons
itcSegment,rgeos::gArea rgeos::gBuffer rgeos::gConvexHull sp::CRS sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
kehra,sp::CRS sp::SpatialPoints
Kernelheaping,sp::point.in.polygon
kernelPhil,rgdal::project
KnowBR,sp::plot
LabourMarketAreas,maptools::unionSpatialPolygons rgdal::readOGR rgdal::writeOGR rgeos::gArea rgeos::gIntersection sp::merge sp::SpatialPolygonsDataFrame
lakemorpho,rgeos::gArea rgeos::gBuffer rgeos::gContains rgeos::gCrosses rgeos::gDifference rgeos::gIntersection rgeos::gIntersects rgeos::gLength rgeos::gOverlaps rgeos::gWithin sp::CRS sp::Line sp::Lines sp::proj4string sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons
landsat,sp::getGridTopology sp::read.asciigrid
landscapemetrics,sp::coordinates sp::disaggregate sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPointsDataFrame sp::SpatialPolygons
landsepi,sp::SpatialPolygonsDataFrame
latticeDensity,sp::bbox
leaflet,sp::bbox sp::coordinates sp::CRS sp::polygons sp::SpatialLines
leafletCN,sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
leafR,sp::coordinates sp::gridded
leastcostpath,rgeos::gArea rgeos::gBoundary rgeos::gBuffer rgeos::gDifference rgeos::gIntersection rgeos::gIsValid rgeos::gLength rgeos::gNode rgeos::gPolygonize rgeos::gUnaryUnion sp::coordinates sp::Polygon sp::Polygons sp::SpatialLinesDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spsample
letsR,rgdal::readOGR rgeos::gArea rgeos::gCentroid rgeos::gContains rgeos::gOverlaps sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons
lgcp,rgeos::gDisjoint rgeos::gIntersection rgeos::gIntersects rgeos::gTouches rgeos::gUnaryUnion sp::CRS sp::GridTopology sp::Polygon sp::Polygons sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPolygons sp::SpatialPolygonsDataFrame
lidR,sp::SpatialPointsDataFrame sp::surfaceArea
loa,sp::coordinates sp::CRS sp::proj4string sp::spTransform
macroBiome,sp::CRS sp::SpatialPoints sp::SpatialPointsDataFrame sp::spTransform
malariaAtlas,rgdal::readOGR sp::bbox sp::rbind.SpatialPolygonsDataFrame
mapedit,sp::bbox sp::coordinates sp::CRS sp::Lines sp::Polygons sp::spTransform
MapGAM,maptools::map2SpatialLines maptools::SpatialLines2PolySet maptools::SpatialPolygons2PolySet sp::CRS
mapmisc,sp::CRS sp::Line sp::Lines sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spDists
mapReasy,rgdal::ogrListLayers rgdal::readOGR sp::getSpPPolygonsLabptSlots
maptools,sp::as.image.SpatialGridDataFrame sp::as.SpatialPolygons.PolygonsList sp::CRS sp::gridparameters sp::GridTopology sp::identicalCRS sp::is.projected sp::Line sp::LineLength sp::Lines sp::mapasp sp::Polygon sp::Polygons sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
mapview,sp::coordinates sp::CRS sp::Lines sp::Polygons sp::proj4string sp::spTransform
marmap,sp::Line sp::Lines sp::point.in.polygon sp::SpatialLines sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
maskRangeR,sp::coordinates
MBNMAdose,rgeos::gArea rgeos::readWKT
MEDITS,sp::CRS
memgene,sp::SpatialPoints
MetaLandSim,sp::select.spatial sp::SpatialPoints
meteo,sp::CRS sp::Polygon sp::Polygons sp::SpatialPolygons sp::spDists sp::zerodist
meteoForecast,sp::CRS
MetricGraph,sp::CRS sp::Line sp::LineLength sp::Lines sp::proj4string sp::SpatialLines sp::SpatialPoints sp::SpatialPointsDataFrame sp::spDists
micromap,sp::Polygon sp::Polygons sp::SpatialPolygons
micromapST,maptools::spRbind maptools::unionSpatialPolygons rgdal::CRSargs rgdal::new_proj_and_gdal rgdal::readOGR rgdal::rgdal_extSoftVersion rgdal::set_P6_datum_hard_fail rgdal::set_rgdal_show_exportToProj4_warnings rgdal::set_thin_PROJ6_warnings rgdal::writeOGR rgeos::gBuffer rgeos::gCentroid rgeos::gDifference sp::bbox sp::CRS sp::geometry sp::plot sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spTransform sp::wkt
MinBAR,sp::coordinates sp::CRS sp::spTransform
modchart,rgdal::readOGR sp::merge
MoleculeExperiment,sp::coordinates sp::over sp::Polygon sp::Polygons sp::SpatialPolygons
momentuHMM,sp::coordinates sp::CRS sp::proj4string sp::spDistsN1 sp::spTransform
Momocs,rgeos::gIntersection sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPolygons sp::spsample
monographaR,maptools::writePolyShape maptools::writeSpatialShape
morphomap,sp::CRS sp::point.in.polygon
Morphoscape,sp::coordinates sp::gridded sp::point.in.polygon sp::SpatialPoints
mosaicCalc,sp::point.in.polygon
move,sp::CRS sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::spDistsN1
movecost,sp::coordinates sp::Polygon sp::Polygons sp::SpatialLinesDataFrame sp::SpatialPolygons
moveHMM,sp::spDistsN1
mregions,sp::spTransform
muHVT,rgeos::intersect sp::point.in.polygon
multimark,sp::gridded sp::over sp::plot sp::points2grid sp::SpatialGrid sp::SpatialPoints
mvGPS,sp::Polygon sp::Polygons sp::SpatialPolygons
naijR,rgdal::readOGR
naturaList,sp::Polygon sp::Polygons sp::SpatialPointsDataFrame sp::SpatialPolygons
nodiv,sp::CRS sp::points2grid sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame
npsp,sp::CRS sp::gridparameters sp::GridTopology sp::SpatialGridDataFrame sp::SpatialPoints
OasisR,rgdal::readOGR rgeos::gCentroid rgeos::gDistance rgeos::gIntersection rgeos::gLength
oceanic,sp::CRS sp::SpatialPoints
oceanmap,sp::bbox sp::Line sp::Lines sp::Polygon sp::Polygons sp::proj4string sp::SpatialLines sp::SpatialPolygons
OCNet,rgdal::writeOGR sp::Line sp::Lines sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame
ohun,sp::over sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
openSTARS,rgdal::readGDAL rgdal::readOGR rgdal::writeOGR sp::coordinates sp::merge
OpenStreetMap,sp::CRS
Orcs,sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame
OSMscale,sp::CRS
ParallelDSM,rgdal::writeGDAL
patternize,sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
pavo,sp::point.in.polygon
perspectev,sp::Polygon sp::Polygons
pgirmess,sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame
phenopix,sp::Polygon sp::Polygons sp::SpatialPolygons
phyloclim,sp::read.asciigrid sp::SpatialPoints
phyloregion,rgeos::gBuffer sp::CRS sp::HexPoints2SpatialPolygons sp::merge sp::over sp::Polygon sp::Polygons sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spsample
places,sp::CRS sp::SpatialPointsDataFrame
plotKML,rgdal::CRSargs rgdal::readGDAL rgdal::readOGR rgdal::writeGDAL rgdal::writeOGR sp::CRS sp::gridparameters sp::GridTopology sp::Line sp::LineLength sp::Lines sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPointsDataFrame sp::SpatialPolygonsDataFrame
PointedSDMs,sp::Polygon sp::Polygons sp::SpatialPixelsDataFrame sp::SpatialPointsDataFrame sp::SpatialPolygons
polyCub,sp::Polygons sp::SpatialPolygons
PopGenHelpR,sp::coordinates sp::fullgrid sp::gridded sp::spsample
PopGenReport,sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialLinesLengths sp::SpatialPolygons
psda,rgeos::gArea rgeos::gIntersection sp::Polygon sp::Polygons sp::SpatialPolygons
psgp,sp::SpatialPointsDataFrame
ptools,sp::bbox sp::coordinates sp::is.projected sp::over sp::Polygon sp::Polygons sp::proj4string sp::SpatialPolygons sp::SpatialPolygonsDataFrame
PWFSLSmoke,maptools::solarnoon maptools::sunriset rgdal::writeOGR sp::CRS sp::SpatialPointsDataFrame
pycno,rgeos::gContains sp::CRS sp::getGridTopology sp::GridTopology sp::SpatialGrid sp::SpatialPixelsDataFrame sp::SpatialPoints
QRAGadget,sp::CRS
quadmesh,sp::coordinates sp::CRS sp::SpatialPoints
quickmapr,rgdal::showWKT rgeos::gArea rgeos::gDistance rgeos::gLength rgeos::gWithin rgeos::gWithinDistance sp::bbox sp::coordinates sp::CRS sp::Line sp::Lines sp::Polygon sp::Polygons sp::SpatialLines sp::SpatialPoints sp::SpatialPolygons sp::spTransform
r2d2,sp::Polygon sp::Polygons sp::SpatialPoints sp::SpatialPolygons
RAC,sp::coordinates sp::CRS sp::gridded sp::proj4string
RapidPolygonLookup,sp::point.in.polygon
raptr,sp::SpatialPoints sp::spsample
raster,sp::bbox sp::coordinates sp::CRS sp::geometry sp::gridded sp::GridTopology sp::Line sp::Lines sp::over sp::plot sp::Polygon sp::Polygons sp::proj4string sp::SpatialGrid sp::SpatialGridDataFrame sp::SpatialLines sp::SpatialLinesDataFrame sp::SpatialPixels sp::SpatialPixelsDataFrame sp::SpatialPoints sp::SpatialPointsDataFrame sp::SpatialPolygons sp::SpatialPolygonsDataFrame sp::spsample sp::spTransform
rasterVis,sp::CRS sp::degreeLabelsNS sp::point.in.polygon sp::SpatialPoints sp::SpatialPointsDataFrame
